course_code,units,title,description
TAE 121,4 units,Controlled Environments for Plants & Animals,"Principles of environmental control (temperature, humidity, lighting, CO2, air circulation, air quality) for plants and animals. Psychrometrics and applications. Energy-efficient building envelopes for greenhouses, vertical farmings, and animal barns. Heating, ventilation, and air-conditioning (HVAC) systems, lighting and CO2 enrichment systems, growing substrates, and irrigation systems. Control systems (sensors and sensing for automated control). Visiting controlled environment facilities."
TAE 192,1-12 units,Internship in Agricultural & Environmental Technology,Supervised internship in agricultural and environmental technology.
TAE 198,1-5 units,Directed Group Study,Directed group study. May be taught abroad.
TAE 199,1-5 units,Special Study for Upper Division Students,Special study for advanced undergraduates. May be taught abroad.
ARE 001,4 units,Economic Basis of the Agricultural Industry,"Agriculture and man; the agricultural industry in U.S. and world economies; production and supply, marketing and demand; agricultural land, capital and labor markets; economic and social problems of agriculture in an urban and industrialized economy emphasizing California. Not currently offered."
ARE 001S,4 units,Economic Basis of the Agricultural Industry,"Agriculture and man; the agricultural industry in Australia and world economies; production and supply, marketing and demand; agricultural land, capital and labor markets; economic and social problems of agriculture in an urban and industrialized economy emphasizing Australia. Not currently offered."
ARE 015,4 units,"Population, Environment & World Agriculture","Economic analysis of interactions among population, environment, natural resources and development of world agriculture. Introduces students to economic thinking about population growth, its causes and consequences for world food demand, and environmental and technological limits to increasing food supplies. Not currently offered."
ARE 018,4 units,Business Law,"General principles of business law in the areas of contracts, business organization, real property, uniform commercial code, sales, commercial paper, employment relations, and creditor-debtor against a background of the history and functioning of our present legal system."
ARE 098,1-5 units,Directed Group Study,Directed group study.
ARE 099,1-5 units,Special Study for Undergraduates,Special study for undergraduates.
ARE 100A,4 units,Intermediate Microeconomics: Theory of Production & Consumption,"Theory of individual consumer and market demand; theory of production and supply of agricultural products, with particular reference to the individual firm; price determination, and employment of resources under pure competition."
ARE 100B,4 units,"Intermediate Microeconomics: Imperfect Competition, Markets & Welfare Economics","Price determination, and employment of resources under conditions of monopoly, oligopoly, and monopolistic competition."
ARE 106,4 units,Econometric Theory & Applications,"Statistical methods for analyzing data to solve problems in managerial economics. Topics include the linear regression model, methods to resolve data problems, and the economic interpretation of results."
ARE 107,4 units,Econometrics for Business Decisions,"Covers state-of-the art econometric and statistical methods for causal and predictive modeling with applications to finance, marketing, and public policy."
ARE 112,4 units,Fundamentals of Organization Management,"Role of organizational design and behavior in business and public agencies. Principles of planning, decision making, individual behavior, management, leadership, informal groups, conflict and change in the organization. May be taught abroad."
ARE 113,4 units,Fundamentals of Marketing Management,"Nature of product marketing by the business firm. Customer-product relationships, pricing and demand; new product development and marketing strategy; promotion and advertising; product life cycles; the distribution system; manufacturing, wholesaling, retailing. Government regulation and restraints."
ARE 115A,4 units,Economic Development,"Major issues encountered in emerging from international poverty, problems of growth and structural change, human welfare, population growth and health, labor markets and internal migration. Important issues of policy concerning international trade and industrialization."
ARE 115B,4 units,Economic Development,"Macroeconomic issues of developing countries. Issues include problems in generating capital, conduct of monetary and fiscal policies, foreign aid and investment. Important issues of policy concerning international borrowing and external debt of developing countries."
ARE 115BY,4 units,Economic Development,"Macroeconomic issues of developing countries. Problems in generating capital, conduct of monetary and fiscal policies, foreign aid and investment. Issues of policy concerning international borrowing and external debt of developing countries."
ARE 118,4 units,Tax Accounting,"Development and application of a framework to understand the tax effects of typical management decisions on both entities and their owners. Impacts that different methods of taxation have on business entities with emphasis on tax planning, using income and deduction strategies, retirement plans, and choice of business entity for tax minimization. Irregularly offered."
ARE 119,4 units,Intermediate Managerial Accounting,"Use of accounting information by mangers in decision making, planning, directing and controlling operations. Focuses on managerial/cost accounting theory and practice. Covers costing systems, budgeting, and financial statement analysis."
ARE 120,4 units,Agricultural Policy,Analytical treatment of historical and current economic problems and governmental policies influencing American agriculture. Uses of economic theory to develop historical and conceptual understanding of the economics of agriculture; how public policy influences the nature and performance of American agriculture.
ARE 120S,4 units,Agricultural Policy,Analytical treatment of historical and current economic problems and governmental policies influencing agriculture. Uses of economic theory to develop historical and conceptual understanding of the economics of agriculture; how public policy influences the nature and performance of agriculture. Not currently offered.
ARE 121,4 units,Economics of Agricultural Sustainability,"Application of economic concepts to agro-environmental issues relevant to agricultural sustainability. Topics include market efficiency, production externalities, government policies, agricultural trade, product differentiation, all linked to sustainability issues. Case studies include biofuels, genetically modified foods and geographically differentiated products."
ARE 130,4 units,Agricultural Markets,"Nature, function, organizational structure, and operation of agricultural markets; prices, costs, and margins; market information, regulation, and controls; cooperative marketing. Irregularly offered."
ARE 132,4 units,Cooperative Business Enterprises,"Study of cooperative business enterprise in the United States and elsewhere; economic theories of behavior, principles of operation, finance, decision-making, and taxation."
ARE 133,4 units,Introduction to Behavioral Economics,"Inclusion of non-economic factors such as psychological principles in economic decisions and model predictions. Emphasis on behavioral principles, resulting strategies and implications for diverse market settings."
ARE 135,2 units,Agribusiness Marketing Plan Development,"Fundamental components required to develop a marketing plan. Appreciation of the concept of marketing plans, appropriate research required, including the use of library, Internet, survey and interview instruments, government documents, market analysis, business proposition, action planning, financial evaluation and monitoring."
ARE 136,4 units,Managerial Marketing,"Application of economic theory and econometrics to the study of marketing and consumer research. Emphasis on industry structure, history, regulatory aspects, integrated brand promotion, market segmentation, optimal product mix, message placement."
ARE 138,4 units,International Commodity & Resource Markets,"Basic nature and scope of international trade in agricultural commodities, agricultural inputs, and natural resources. Market dimensions and policy institutions. Case studies to illustrate import and export problems associated with different regions and commodities."
ARE 139,4 units,Futures & Options Markets,"History, mechanics, and economic functions of futures and options markets; hedging; theory of inter-temporal price formation and behavior of futures and options prices; price forecasting; futures and options as policy tools."
ARE 140,4 units,Farm Management,Farm organization and resources; economic and technological principles in decision making; analytical techniques and management control; problems in organizing and managing the farm business. Irregularly offered.
ARE 142,3 units,Personal Finance,"Management of income and expenditures by the household. Use of consumer credit, savings, and insurance by households. Principles of tax, retirement, and estate planning."
ARE 143,4 units,Basics of Investing,"Survey of investment institutions, sources of investment information, and portfolio theory. Analysis of the stock, bond and real estate markets from the perspective of the investor."
ARE 144,4 units,Real Estate Economics,"Economic theory, analysis, and institutions of real estate markets and related financial markets. Techniques for appraising property values. Cases drawn from the raw land, single family, multifamily, industrial and office real estate markets."
ARE 145,4 units,Farm & Rural Resources Appraisal,"Principles and procedures of the valuation process with emphasis placed on rural real estate. Includes identification of the major physical and economic determinants of value, the three primary appraisal approaches to valuation, discussion of appraisal activity and practice."
ARE 146,4 units,Economics of Business Regulation,"Variety, nature and impact of government regulation: anti-trust laws and economic and social regulation. Nature of the legislative process, promulgation of regulations, and their impact, especially as analyzed by economists."
ARE 147,3 units,Resource & Environment Policy Analysis,"Natural resource use problems with emphasis on past and current policies and institutions affecting resource use; determinants, principles, and patterns of natural resource use; property rights; conservation; private and public resource use problems; and public issues. Not currently offered."
ARE 147M,2 units,Resource & Environmental Policy Analysis,"Natural resource use problems with emphasis on past and current policies and institutions affecting resource use; determinants, principles, and patterns of natural resource use; property rights; conservation; private and public resource use problems; and public issues. Not currently offered."
ARE 150,4 units,Agricultural Labor,"Analysis of labor markets with focus on U.S. and world agriculture. Labor supply, demand, market equilibrium; why farm labor markets are different; global trends in farm labor; U.S. farm labor history; unions and collective bargaining; immigration policy."
ARE 155,4 units,Operations Research & Management Science,"Introduction to quantitative methods used to analyze business and economic processes: decision analysis for management, mathematical programming, competitive analysis, and other methods."
ARE 156,4 units,Introduction to Mathematical Economics,Linear algebra for economists; necessary and sufficient conditions in static optimization problems; implicit function theorem; economic methodology and mathematics; comparative statics; envelope theorem; Le Chatelier principle; applications to production and consumer models. Not currently offered.
ARE 157,4 units,Analysis for Operations & Production Management,"Application of economic theory and quantitative methods to analyze operations and production management problems including process strategy, quality management, location and plant layout, and inventory management."
ARE 165,4 units,Emerging Economies & Globalization,"Economic drivers and policy challenges in the major emerging markets, with an emphasis on the effects of rising incomes, population growth, urbanization, and relative wages on world markets and natural resources. Not currently offered."
ARE 166,4 units,Economics of Global Poverty Reduction: What Works & Why,Application of microeconomic theory and econometrics to understand causes of poverty and critically evaluate poverty alleviation policies in low income countries. Irregularly offered.
ARE 171,4 units,Principles of Finance,"Principles of corporate financial management. Time value of money, interest rates, principles of valuation, NPV, risk and return, and cost of capital."
ARE 172,4 units,Corporate Finance,Financial analysis at the firm level: optimizing capital structure; minimizing the cost of capital; dividend policies; mergers and acquisitions; real options; and risk management.
ARE 173,4 units,Investments,"Introduction to asset pricing. Valuation and risk characteristics of financial assets, including stocks, bonds, futures, and options. Investors’ attitudes toward risk, capital allocation, portfolio selection, the capital asset pricing model, and the efficient market hypothesis."
ARE 175,4 units,Natural Resource Economics,"Economic concepts and policy issues associated with natural resources, renewable resources (ground water, forests, fisheries, and wildlife populations) and non-renewable resources (minerals and energy resources, soil)."
ARE 176,4 units,Environmental Economics,Role of the environment in economic activity and methods for protecting and enhancing environmental quality; implications of market failures for public policy; design of environmental policy; theory of welfare measurement; measuring the benefits of environmental improvement.
ARE 190,3 units,Topics in Managerial Economics,"Selected topics in managerial economics, focusing on current research."
ARE 192,1-6 units,Internship,Internship experience off and on campus in all subject areas offered in the Department of Agricultural & Resource Economics. Internships are supervised by a member of the staff.
ARE 194HA,4 units,Senior Research Thesis,Independent study program and seminar on research methods in applied economics. Supervised completion of a first draft of a research thesis.
ARE 194HB,4 units,Senior Research Thesis,Independent study program supervised by faculty mentor and culminating in the completion of a senior research thesis in applied economics.
ARE 197T,1-3 units,Tutoring in Managerial Economics,Undergraduates assist the instructor by tutoring students in one of the department's regularly scheduled courses.
ARE 198,1-5 units,Directed Group Study,Directed group study. May be taught abroad.
ARE 199,1-5 units,Special Study for Advanced Undergraduates,Special study for advanced undergraduates. May be taught abroad.
ARE 200A,4 units,Microeconomic Theory,Linear and non-linear optimization theory applied to develop the theory of the profit-maximizing firm and the utility-maximizing consumer.
ARE 200B,4 units,Microeconomic Theory,"Characteristics of market equilibrium under perfect competition, simple monopoly and monopsony. Emphasis on general equilibrium and welfare economics; the sources of market success and market failure."
ARE 200C,4 units,Microeconomic Theory,"Uncertainty and information economics. Individual decision making under uncertainty. Introduction to game theory, with emphasis on applications to markets with firms that are imperfect competitors or consumers that are imperfectly informed."
ARE 202A,4 units,Introduction to Applied Research Methods,Study of philosophy and methodology of applied research in agricultural economics. Methods of conceptualization of researchable topics. Method of communication and constructive criticism.
ARE 202B,4 units,Applied Microeconomics: Consumer & Producer Behavior,Application of consumer and producer theory in models of individual behavior and market-level phenomena. Implications of consumer and producer theory for specification of empirical models of supply and demand for inputs and outputs and market equilibrium displacement models.
ARE 202C,4 units,Research Design for Applied Microeconomics,Third of three courses in the Ph.D. level applied microeconomics sequence. Examines the design of empirical research and the application of econometric theory.
ARE 204A,4 units,Microeconomic Analysis I,Behavior of consumers and producers and their interactions; tools and methods needed to analyze economic behavior in the marketplace. Application of those methods to real-world problems.
